	col_val	source	views	registration	conversion
https://blog.bookly.com/learning/courses/editing/novel-revision-understanding-craft/		blog_post_url	21.0	21.0	100.0
https://blog.bookly.com/learning/courses/writing/short-story/submitting-your-work/		blog_post_url	21.0	21.0	100.0
https://blog.bookly.com/learning/courses/writing/3-act-story-structure//		blog_post_url	21.0	21.0	100.0
"
Modelo gratuito: Estrutura da história em três atos"		popup_header	21.0	21.0	100.0
"
Descargar: Plantilla de construcción mundial"		popup_header	21.0	21.0	100.0
"
Modello gratuito: struttura della storia in tre atti"		popup_header	21.0	21.0	100.0
"
Uma maneira simples e gratuita de escrever seu livro"		popup_header	21.0	21.0	100.0
"
Абсолютное бесплатное приложение для письма"		popup_header	21.0	21.0	100.0
"
ดาวน์โหลดฟรี: เทมเพลตโปรไฟล์ตัวละคร"		popup_header	21.0	21.0	100.0
"
영감을 얻을 때까지 기다리지 마십시오"		popup_header	21.0	21.0	100.0
"
Download grátis: modelo de proposta de livro"		popup_header	21.0	21.0	100.0
"
Curso gratuito: desarrollo del personaje"		popup_header	21.0	21.0	100.0
매주 무료 필기 메시지에 가입하고 컨테스트에 참가하여 $ 50를 받으십시오.		popup_description	21.0	21.0	100.0
Ingrese su correo electrónico para recibir el recurso de construcción mundial número 1 de bookly		popup_description	21.0	21.0	100.0
"
พัฒนาตัวละครของคุณเหมือนนักเขียนที่ขายดีที่สุด"		popup_description	21.0	21.0	100.0
"
Попробуйте bookly Book Editor: бесплатное приложение для письма, которое ежедневно используют тысячи авторов."		popup_description	21.0	21.0	100.0
"
¡Crea personajes fascinantes que a tus lectores les encantarán ... o amarán odiar! Empieza ahora."		popup_description	21.0	21.0	100.0
"
Padroneggia la struttura della storia in tre atti con l'aiuto del nostro modello scaricabile gratuitamente."		popup_description	21.0	21.0	100.0
"
Escreva seu livro da maneira que os leitores o verão. Inscreva-se para acessar o aclamado editor de livros de bookly."		popup_description	21.0	21.0	100.0
"
Enviando uma proposta? Faça o download deste modelo gratuito dos profissionais da bookly."		popup_description	21.0	21.0	100.0
"
Domine a estrutura da história de três atos com a ajuda do nosso modelo para download gratuito."		popup_description	21.0	21.0	100.0
Hero's Journey 101: Guia de definição e passo a passo (com lista de verificação!)		popup_title	21.0	21.0	100.0
Elf Name Generator • ULTIMATE Bank s 50 000+ menami		popup_title	21.0	21.0	100.0
Submitting Your Work • How to Craft a Killer Short Story		popup_title	21.0	21.0	100.0
작가의 블록을 극복하는 방법 (실제로 작동하는 20 가지 팁)		popup_title	21.0	21.0	100.0
﻿﻿​Best Dramatic Writing Prompts of 2020		popup_title	21.0	21.0	100.0
Novel Revision: Understanding the Craft (Free Course) • bookly		popup_title	21.0	21.0	100.0
So erstellen Sie ein Charakterprofil: die ultimative Anleitung (mit Vorlage)		popup_title	21.0	21.0	100.0
Cómo escribir un arco de caracteres convincente en solo 3 pasos		popup_title	21.0	21.0	100.0
