popup_name	source	views	registration	conversion
Learning | Amazon Algorithms | 2020-03	popup_name	56.0	21.0	37.5
Website Checklist 1	popup_name	112.0	35.0	31.25
Learning Young Adult	popup_name	525.0	91.0	17.333333333333336
BookBub Calendar 1	popup_name	126.0	21.0	16.666666666666664
Website Checklist 2	popup_name	133.0	21.0	15.789473684210526
Book Proposal Template 1	popup_name	8428.0	1232.0	14.61794019933555
Learning | Amazon Ads | 2020-03	popup_name	434.0	56.0	12.903225806451612
Upgrade | Short Story Format Template | 2020-06	popup_name	231.0	21.0	9.090909090909092
Learning Non Fiction	popup_name	959.0	84.0	8.75912408759124
Character Profile Checklist 4	popup_name	90895.0	7007.0	7.708894878706199
Worldbuilding Template	popup_name	26901.0	2058.0	7.650273224043716
Upgrade | Proposal Template | 2020-04	popup_name	2513.0	189.0	7.520891364902507
Book Title Checklist 2	popup_name	826.0	56.0	6.779661016949152
Learning Cookbook	popup_name	3794.0	238.0	6.273062730627306
Upgrade | Manuscript Tempate | 2020-03	popup_name	2387.0	147.0	6.158357771260997
Learning Facebook Ads	popup_name	364.0	21.0	5.769230769230769
Author Bio Template 2 (New Style)	popup_name	19488.0	1113.0	5.711206896551724
Manuscript Template 2 (New Style)	popup_name	30114.0	1673.0	5.555555555555555
Learning Marketing 101	popup_name	406.0	21.0	5.172413793103448
Learning Write a Novel #3	popup_name	18074.0	889.0	4.918667699457785
Prompts | Contest | 2020-04-b	popup_name	24332.0	1162.0	4.7756041426927505
Upgrade | Copyright | 2020-05	popup_name	3374.0	161.0	4.771784232365145
Worldbuilding Template 3 (Harry Potter)	popup_name	11480.0	546.0	4.7560975609756095
Learning | Agents | 2020-05	popup_name	3598.0	161.0	4.474708171206226
Writing Prompts Charlie (new copy)	popup_name	22666.0	994.0	4.385423100679431
Editing Checklist 2	popup_name	1302.0	56.0	4.301075268817205
Learning Middle Grade 1	popup_name	504.0	21.0	4.166666666666666
Writing Prompts #5	popup_name	525.0	21.0	4.0
bookly Book Editor 1	popup_name	2317.0	91.0	3.927492447129909
Query Letter Checklist	popup_name	11746.0	455.0	3.873659117997616
Writing Prompts Beta	popup_name	4228.0	161.0	3.80794701986755
Learning Write Children Books 1	popup_name	2436.0	91.0	3.7356321839080464
Learning | Self-Pub 101 | 2020-03	popup_name	15050.0	546.0	3.627906976744186
Marketplace Marketing Charlie (New image)	popup_name	4151.0	147.0	3.541315345699832
Learning | Picturebook Publishing | 2020-03	popup_name	4809.0	161.0	3.3478893740902476
Learning Amazon Ads	popup_name	1680.0	56.0	3.3333333333333335
Website Checklist 3 (New Style)	popup_name	4438.0	147.0	3.3123028391167195
Book Title Checklist 1	popup_name	1064.0	35.0	3.289473684210526
Learning Reviews	popup_name	672.0	21.0	3.125
Learning | Actually Write | 2020-03	popup_name	8477.0	259.0	3.05532617671346
Copyright Cheat Sheet 1	popup_name	3444.0	105.0	3.048780487804878
Book Marketing Checklist 2	popup_name	10003.0	301.0	3.009097270818754
Story Structure Template 1	popup_name	50582.0	1519.0	3.0030445613063934
Learning Trad Pub	popup_name	1400.0	42.0	3.0
Character Profile Checklist 3	popup_name	46228.0	1351.0	2.9224712295578437
Learning Write a Novel #1	popup_name	18774.0	546.0	2.9082774049217
Cover Design Checklist 3	popup_name	17871.0	518.0	2.898550724637681
bookly Book Editor 3 (Photo 1)	popup_name	20636.0	581.0	2.8154681139755766
Editing Checklist 1	popup_name	1246.0	35.0	2.8089887640449436
Discovery - Free Fantasy Books	popup_name	756.0	21.0	2.7777777777777777
Learning | Romance | 2020-05	popup_name	2058.0	56.0	2.7210884353741496
Learning | Childrens Books 101 | 2020-03	popup_name	2583.0	70.0	2.710027100271003
Editing Checklist 3 (New Style)	popup_name	6209.0	168.0	2.705749718151071
Learning | Query Letters | 2020-04	popup_name	1302.0	35.0	2.6881720430107525
Book Marketing Checklist 3 (New Style)	popup_name	10003.0	266.0	2.6592022393282013
Character Generator Template 2	popup_name	4025.0	105.0	2.608695652173913
Freelancer Exit Modal – Invite	popup_name	2534.0	63.0	2.4861878453038675
Book Proposal Template 2 (New Style)	popup_name	19355.0	476.0	2.4593128390596743
Writing Prompts Charlie	popup_name	23947.0	588.0	2.4554223911137094
Writing Prompts Alpha	popup_name	10626.0	252.0	2.371541501976284
Learning Romance 1	popup_name	12460.0	294.0	2.359550561797753
Learning | Reviews | 2020-03	popup_name	2982.0	70.0	2.3474178403755865
Book Launch Checklist 3	popup_name	12383.0	287.0	2.317693612210288
Book Launch Checklist 4 (New Style)	popup_name	26747.0	616.0	2.303062025647736
Learning Story Editing	popup_name	924.0	21.0	2.272727272727273
bookly Book Editor Golf (personal)	popup_name	18963.0	399.0	2.104097452934662
bookly Book Editor Foxtrot (Format)	popup_name	6104.0	126.0	2.064220183486239
Learning | Design 101 | 2020-03	popup_name	33523.0	665.0	1.9837126748799332
Marketplace Illustrations Alpha (Photo 3)	popup_name	1099.0	21.0	1.910828025477707
Book Launch Checklist 2	popup_name	4795.0	91.0	1.897810218978102
Learning Story Structure	popup_name	9632.0	182.0	1.88953488372093
bookly Book Editor Foxtrot	popup_name	37478.0	700.0	1.867762420620097
Upgrade | Proposal Template | 2020-03	popup_name	17710.0	329.0	1.8577075098814229
Prompts | Contest | 2020-04	popup_name	5789.0	105.0	1.8137847642079807
Query Letter Checklist 3 (New Style)	popup_name	11424.0	196.0	1.715686274509804
Marketplace Marketing Echo	popup_name	1225.0	21.0	1.7142857142857144
Book Launch Checklist	popup_name	7819.0	133.0	1.7009847806624887
Discovery - Short Story 1	popup_name	4627.0	77.0	1.6641452344931922
Marketplace Ghostwriter 3 (Team illustration)	popup_name	1295.0	21.0	1.6216216216216217
Marketplace Editing Foxtrot	popup_name	3465.0	56.0	1.6161616161616161
Writing Prompts #3	popup_name	21847.0	350.0	1.6020506247997435
Discovery - Books To Read Before You Die Checklist #6	popup_name	9254.0	147.0	1.588502269288956
