popup_version|start_date|popup_category	source	views	registration	conversion
"[""A"",""2020-05-22"",""Understanding Publishing""]"	popup_version|start_date|popup_category	35.0	21.0	60.0
"[""B"",""2020-05-21"",""Understanding Publishing""]"	popup_version|start_date|popup_category	70.0	35.0	50.0
"[""B"",""2019-11-18"",""Book Marketing""]"	popup_version|start_date|popup_category	91.0	35.0	38.46153846153847
"[""A"",""2020-06-12"",""Book Marketing, Understanding Publishing""]"	popup_version|start_date|popup_category	56.0	21.0	37.5
"[""B"",""2019-04-11"",""""]"	popup_version|start_date|popup_category	56.0	21.0	37.5
"[""B"",""2020-05-25"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	105.0	35.0	33.33333333333333
"[""B"",""2020-02-27"",""""]"	popup_version|start_date|popup_category	63.0	21.0	33.33333333333333
"[""A"",""2019-01-22"",""""]"	popup_version|start_date|popup_category	364.0	112.0	30.76923076923077
"[""B"",""2020-06-10"",""Book Marketing""]"	popup_version|start_date|popup_category	70.0	21.0	30.0
"[""A"","""",""Book Marketing""]"	popup_version|start_date|popup_category	77.0	21.0	27.27272727272727
"["""",""2019-10-11"",""""]"	popup_version|start_date|popup_category	147.0	35.0	23.809523809523807
"[""A"",""2020-05-25"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	91.0	21.0	23.076923076923077
"[""A"",""2019-04-12"",""""]"	popup_version|start_date|popup_category	91.0	21.0	23.076923076923077
"[""A"",""2020-02-21"",""""]"	popup_version|start_date|popup_category	91.0	21.0	23.076923076923077
"[""A"",""2020-05-27"",""bookly News""]"	popup_version|start_date|popup_category	91.0	21.0	23.076923076923077
"[""B"",""2020-02-13"",""Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	105.0	21.0	20.0
"[""B"",""2020-04-27"",""""]"	popup_version|start_date|popup_category	525.0	91.0	17.333333333333336
"[""A"",""2020-05-27"",""""]"	popup_version|start_date|popup_category	126.0	21.0	16.666666666666664
"["""",""2019-12-13"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	34433.0	5509.0	15.999186826590769
"["""",""2019-10-10"",""Understanding Publishing""]"	popup_version|start_date|popup_category	7511.0	1141.0	15.191053122087606
"["""",""2020-05-06"",""Understanding Publishing""]"	popup_version|start_date|popup_category	7609.0	1155.0	15.179392824287028
"[""B"",""2020-04-07"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	238.0	35.0	14.705882352941178
"[""A"",""2019-10-11"",""""]"	popup_version|start_date|popup_category	658.0	91.0	13.829787234042554
"[""B"",""2020-05-26"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	273.0	35.0	12.82051282051282
"[""B"",""2020-02-28"",""Book Marketing""]"	popup_version|start_date|popup_category	182.0	21.0	11.538461538461538
"[""A"",""2020-02-13"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	182.0	21.0	11.538461538461538
"["""",""2019-10-16"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	17689.0	1988.0	11.238622872971904
"[""A"",""2020-05-27"",""Book Marketing""]"	popup_version|start_date|popup_category	1176.0	126.0	10.714285714285714
"[""A"",""2020-05-29"",""Understanding Publishing""]"	popup_version|start_date|popup_category	630.0	63.0	10.0
"[""B"",""2020-05-14"",""generator""]"	popup_version|start_date|popup_category	1365.0	133.0	9.743589743589745
"[""A"",""2020-03-31"",""Understanding Publishing""]"	popup_version|start_date|popup_category	938.0	91.0	9.701492537313433
"[""A"",""2019-11-19"",""Book Marketing""]"	popup_version|start_date|popup_category	217.0	21.0	9.67741935483871
"[""B"",""2020-06-12"",""Understanding Publishing""]"	popup_version|start_date|popup_category	2765.0	266.0	9.620253164556962
"[""A"",""2020-06-12"",""Book Design""]"	popup_version|start_date|popup_category	1008.0	91.0	9.027777777777777
"[""A"",""2020-02-28"",""Book Marketing""]"	popup_version|start_date|popup_category	238.0	21.0	8.823529411764707
"[""A"",""2020-02-29"",""Book Marketing""]"	popup_version|start_date|popup_category	812.0	70.0	8.620689655172415
"[""B"",""2020-06-10"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	259.0	21.0	8.108108108108109
"["""",""2018-12-03"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	3857.0	308.0	7.985480943738657
"[""A"",""2020-05-14"",""generator""]"	popup_version|start_date|popup_category	1477.0	112.0	7.5829383886255926
"[""B"",""2019-04-16"",""""]"	popup_version|start_date|popup_category	280.0	21.0	7.5
"["""",""2020-05-27"",""Book Marketing, Understanding Publishing""]"	popup_version|start_date|popup_category	11977.0	882.0	7.364114552893045
"[""B"",""2020-06-12"",""Book Design""]"	popup_version|start_date|popup_category	952.0	70.0	7.352941176470589
"[""B"",""2020-03-03"",""Understanding Publishing""]"	popup_version|start_date|popup_category	3073.0	217.0	7.061503416856492
"[""A"",""2020-04-07"",""Book Marketing, Perfecting your Craft""]"	popup_version|start_date|popup_category	826.0	56.0	6.779661016949152
"["""",""2020-05-29"",""Book Design, Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	3717.0	238.0	6.4030131826742
"[""A"",""2019-04-16"",""""]"	popup_version|start_date|popup_category	329.0	21.0	6.382978723404255
"["""","""",""From our Authors, Perfecting your Craft""]"	popup_version|start_date|popup_category	560.0	35.0	6.25
"[""B"",""2020-03-06"",""Understanding Publishing""]"	popup_version|start_date|popup_category	595.0	35.0	5.88235294117647
"["""",""2019-04-16"",""""]"	popup_version|start_date|popup_category	357.0	21.0	5.88235294117647
"[""B"",""2020-03-31"",""Understanding Publishing""]"	popup_version|start_date|popup_category	959.0	56.0	5.839416058394161
"[""A"",""2020-03-02"",""""]"	popup_version|start_date|popup_category	364.0	21.0	5.769230769230769
"["""",""2019-03-06"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	9016.0	490.0	5.434782608695652
"[""A"",""2019-11-12"",""Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	4165.0	217.0	5.2100840336134455
"[""A"",""2020-05-07"",""Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	1351.0	70.0	5.181347150259067
"["""",""2019-10-16"",""Book Design""]"	popup_version|start_date|popup_category	4893.0	252.0	5.150214592274678
"[""B"",""2020-02-27"",""Book Design, Book Marketing, Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	1120.0	56.0	5.0
"["""",""2020-04-06"",""Understanding Publishing""]"	popup_version|start_date|popup_category	6951.0	343.0	4.934541792547835
"[""A"",""2020-06-12"",""Understanding Publishing""]"	popup_version|start_date|popup_category	2723.0	133.0	4.884318766066838
"["""",""2019-05-02"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	2583.0	126.0	4.878048780487805
"[""B"",""2020-03-02"",""""]"	popup_version|start_date|popup_category	441.0	21.0	4.761904761904762
"[""B"",""2020-03-27"",""Book Design, Understanding Publishing""]"	popup_version|start_date|popup_category	3829.0	182.0	4.753199268738574
"[""A"",""2020-05-06"",""Book Design, Understanding Publishing""]"	popup_version|start_date|popup_category	742.0	35.0	4.716981132075472
"[""B"",""2020-02-21"",""Understanding Publishing""]"	popup_version|start_date|popup_category	742.0	35.0	4.716981132075472
"[""A"",""2020-02-27"",""Book Design""]"	popup_version|start_date|popup_category	448.0	21.0	4.6875
"["""",""2020-02-27"",""Book Design""]"	popup_version|start_date|popup_category	1211.0	56.0	4.624277456647398
"[""B"",""2019-09-04"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	469.0	21.0	4.477611940298507
"[""A"",""2020-03-06"",""Understanding Publishing""]"	popup_version|start_date|popup_category	483.0	21.0	4.3478260869565215
"[""A"",""2020-06-05"",""Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	13055.0	532.0	4.075067024128686
"[""A"","""",""""]"	popup_version|start_date|popup_category	1057.0	42.0	3.9735099337748347
"["""",""2019-10-22"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	60291.0	2317.0	3.8430279809590155
"[""B"",""2019-11-12"",""Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	4228.0	161.0	3.80794701986755
"[""A"","""",""Understanding Publishing""]"	popup_version|start_date|popup_category	2394.0	91.0	3.8011695906432745
"[""B"",""2020-05-27"",""Book Marketing""]"	popup_version|start_date|popup_category	1155.0	42.0	3.6363636363636362
"[""B"",""2020-02-27"",""Book Design""]"	popup_version|start_date|popup_category	581.0	21.0	3.614457831325301
"[""A"",""2020-03-31"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	10570.0	378.0	3.576158940397351
"[""B"",""2020-02-27"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	980.0	35.0	3.571428571428571
"[""A"",""2020-02-27"",""Book Marketing, Understanding Publishing""]"	popup_version|start_date|popup_category	1603.0	56.0	3.4934497816593884
"[""B"",""2020-03-31"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	11452.0	399.0	3.4841075794621026
"[""B"",""2020-02-27"",""Book Marketing, Understanding Publishing""]"	popup_version|start_date|popup_category	1610.0	56.0	3.4782608695652173
"[""B"",""2020-02-27"",""Understanding Publishing""]"	popup_version|start_date|popup_category	6762.0	231.0	3.4161490683229814
"[""B"",""2019-10-11"",""""]"	popup_version|start_date|popup_category	616.0	21.0	3.4090909090909087
"[""B"",""2020-03-23"",""Understanding Publishing""]"	popup_version|start_date|popup_category	3101.0	105.0	3.3860045146726865
"[""B"",""2020-02-29"",""Book Marketing""]"	popup_version|start_date|popup_category	637.0	21.0	3.296703296703297
"[""B"",""2020-04-07"",""Book Marketing, Perfecting your Craft""]"	popup_version|start_date|popup_category	1064.0	35.0	3.289473684210526
"[""B"",""2020-05-06"",""Book Design""]"	popup_version|start_date|popup_category	2135.0	70.0	3.278688524590164
"[""A"",""2020-06-12"",""Book Marketing, Perfecting your Craft""]"	popup_version|start_date|popup_category	651.0	21.0	3.225806451612903
"[""B"",""2020-03-13"",""Understanding Publishing""]"	popup_version|start_date|popup_category	2422.0	77.0	3.1791907514450863
"[""A"",""2020-03-03"",""Understanding Publishing""]"	popup_version|start_date|popup_category	4109.0	126.0	3.0664395229982966
